tsne_1,tsne_2,sirna_id,predicted,experiment,plate,well
52.985043,15.903051,1121,1121,U2OS-03,4,J19
6.2456803,5.9201317,1138,1138,HEPG2-05,1,B02
5.480209,-19.744047,1116,1116,U2OS-03,2,J11
-9.7904415,35.50451,1134,1134,HEPG2-06,2,H19
-42.472477,-6.732555,1136,1136,HUVEC-09,4,C11
17.56721,-22.46195,1131,1131,HEPG2-07,3,M11
-57.91347,30.047562,1116,1116,HUVEC-21,2,M07
68.388336,-6.6237106,1124,1124,HUVEC-12,4,C03
-12.722234,65.0935,1134,1134,HUVEC-20,3,F07
70.42244,-7.9447975,1124,1124,HUVEC-03,4,J07
-4.507935,-26.940956,1128,1128,RPE-09,2,F11
-3.0565412,-8.319889,1138,1138,HUVEC-18,2,B02
-11.290942,-14.141618,1116,1116,RPE-05,4,F07
-11.506533,-34.7354,1117,1117,U2OS-04,3,H19
7.5040154,35.36909,1124,1124,HEPG2-02,1,M15
-55.26015,29.084328,1116,1116,HUVEC-23,3,M07
-31.73274,-37.141468,1135,1135,RPE-06,1,H19
-32.551777,2.4231513,1123,1123,HEPG2-02,1,F07
60.093327,10.582557,1121,1121,HEPG2-11,4,C19
20.97712,59.409748,1115,1115,HUVEC-06,1,C15
-18.167854,32.540394,1137,1137,HEPG2-08,4,H03
17.201984,4.791015,1133,1133,HEPG2-09,4,M11
-31.638578,22.620258,1125,1125,HUVEC-13,1,J07
46.90497,-1.3139237,1108,1108,HUVEC-14,3,C03
7.3733497,33.759342,1124,1124,HEPG2-09,3,H15
-67.22819,-2.5906801,1123,1123,HUVEC-23,3,H22
0.94723356,41.241592,1124,1124,U2OS-01,1,M07
-32.97274,2.2403457,1123,1123,HEPG2-02,2,F22
45.11899,-0.07325164,1108,1108,HUVEC-14,3,C03
8.9211645,-35.54043,1128,1128,RPE-02,1,M11
-52.21945,-22.2955,1109,1109,HUVEC-02,3,M19
6.28571,35.70795,1124,1124,HEPG2-01,4,F15
-8.289168,36.93364,1134,1134,HEPG2-10,4,H03
-41.16243,47.98622,1137,1137,RPE-03,2,M22
-12.617636,66.905304,1134,1134,HUVEC-14,1,C11
-34.098278,-20.6662,1136,1136,RPE-09,1,H07
10.717329,17.115017,1115,1115,HEPG2-03,3,J19
26.285088,-37.485016,1130,1130,HUVEC-20,3,C11
-10.714697,35.887764,1134,1134,HEPG2-04,3,C22
-26.108196,-44.774933,1135,1135,U2OS-02,1,H22
10.0850315,17.475155,1115,1115,HEPG2-05,2,H15
-20.00736,41.216537,1137,1137,U2OS-04,2,H11
-35.3789,23.874105,1125,1125,HUVEC-06,4,C03
30.170889,26.708466,1129,1129,U2OS-05,1,F03
46.936676,-19.144094,1133,1133,HUVEC-09,4,M03
-30.762226,34.9801,1137,1137,HUVEC-05,3,M15
-54.023613,29.08001,1116,1116,HUVEC-04,4,H07
-1.2115216,-27.88168,1128,1128,RPE-03,1,J11
-18.114143,29.88881,1137,1137,HEPG2-01,4,F22
-11.392931,-34.58028,1117,1117,U2OS-04,4,M22
22.166527,58.388504,1115,1115,HUVEC-04,2,H11
22.061148,-35.153336,1130,1130,HUVEC-10,2,C19
-46.08945,-40.782745,1109,1109,RPE-09,1,C19
70.13025,-5.212612,1124,1124,HUVEC-01,2,C19
11.632633,-67.67729,1131,1131,HUVEC-17,1,F07
-11.376259,17.302172,1126,1126,HUVEC-17,3,M03
6.995513,5.22053,1138,1138,HEPG2-07,4,B02
-59.892586,9.961628,1123,1123,RPE-07,4,J15
8.986987,-35.68136,1128,1128,RPE-02,3,J22
30.60181,22.44507,1129,1129,RPE-10,2,F03
-32.39392,40.62451,1137,1137,HUVEC-04,2,H22
58.25836,10.512436,1121,1121,HEPG2-03,3,C03
10.264353,-38.707867,1128,1128,HUVEC-17,4,H11
-16.318415,64.96518,1134,1134,HUVEC-24,2,M03
6.7605686,34.311558,1124,1124,HEPG2-11,2,C19
-24.773117,-10.1012745,1136,1136,HEPG2-09,3,F22
10.361696,5.3849745,1138,1138,HEPG2-02,4,G10
60.535248,8.490491,1121,1121,HEPG2-05,3,H03
-31.527794,2.2314937,1123,1123,HEPG2-08,2,C19
9.151561,15.163808,1115,1115,HEPG2-09,2,M07
31.63214,35.41545,1129,1129,HUVEC-21,3,H22
12.098249,49.28272,1115,1115,RPE-01,1,F22
43.493896,20.188803,1121,1121,RPE-03,4,H07
32.881607,34.234127,1129,1129,HUVEC-19,4,F15
-22.449787,-56.43915,1135,1135,HUVEC-09,2,H19
-19.246103,32.99049,1137,1137,HEPG2-10,3,H11
40.637424,-36.729767,1130,1130,RPE-06,4,J22
30.692684,22.553339,1129,1129,RPE-11,2,M03
-54.083534,3.8376734,1123,1123,U2OS-02,3,M22
37.176582,11.91068,1108,1108,RPE-05,3,H11
41.06827,-1.2522839,1108,1108,HUVEC-18,2,C03
-59.3599,10.539712,1123,1123,RPE-08,2,F15
-32.746758,1.3528341,1123,1123,HEPG2-04,2,C11
9.742308,-19.277225,1131,1131,U2OS-03,4,M11
69.79207,-7.909996,1124,1124,HUVEC-24,2,M15
-0.22331552,23.49165,1126,1126,HEPG2-05,2,F19
11.028535,-67.75967,1131,1131,HUVEC-07,3,J22
-0.18209586,61.253098,1134,1134,U2OS-04,4,J22
-11.393265,-16.00436,1116,1116,RPE-01,2,F11
2.1843495,-4.698304,1138,1138,HUVEC-14,4,B02
53.47332,26.438314,1121,1121,HUVEC-02,4,F11
-18.699034,-27.640272,1117,1117,HEPG2-04,1,M19
-2.9073584,17.15696,1126,1126,RPE-02,4,H11
19.00581,-11.938959,1116,1116,HEPG2-06,1,C22
-14.614246,17.159996,1126,1126,HUVEC-18,4,J03
23.832481,-33.560257,1130,1130,HUVEC-06,2,M03
-41.73788,10.162327,1125,1125,RPE-02,3,F15
17.439217,3.817143,1133,1133,HEPG2-05,2,C15
19.92946,-12.710487,1116,1116,HEPG2-03,2,C15
1.8333695,70.01059,1134,1134,RPE-05,3,M03
47.101955,-21.477486,1133,1133,HUVEC-02,3,C19
-54.247143,4.5047812,1123,1123,U2OS-02,2,C19
53.094055,15.653325,1121,1121,U2OS-02,2,F03
-17.7629,-0.55863506,1109,1109,HEPG2-01,4,J22
-69.675545,-1.8879994,1123,1123,HUVEC-06,2,M19
39.186363,10.87615,1108,1108,RPE-10,4,F11
-33.608967,-21.748959,1136,1136,RPE-07,3,C15
-4.764722,-51.830242,1117,1117,HUVEC-21,1,J11
44.195168,21.869509,1121,1121,RPE-11,3,H07
